pool	 sample
41	 149
41	 154
41	 168
41	 171
41	 183
41	 188
41	 195
41	 208
41	 212
41	 223
41	 225
41	 238
41	 242
41	 253
41	 258
41	 269
41	 273
41	 286
41	 292
41	 303
41	 307
41	 320
41	 327
41	 332
41	 344
41	 347
41	 357
41	 362
41	 374
41	 377
42	 2
42	 13
42	 17
42	 30
42	 36
42	 47
42	 51
42	 64
42	 71
42	 76
42	 88
42	 91
42	 101
42	 106
42	 118
42	 121
42	 133
42	 138
42	 150
42	 153
42	 167
42	 172
42	 184
42	 187
42	 196
42	 207
42	 211
42	 224
42	 226
42	 237
42	 241
42	 254
42	 257
42	 270
42	 274
42	 285
42	 291
42	 304
42	 308
42	 319
42	 328
42	 331
42	 343
42	 348
42	 358
42	 361
42	 373
42	 378
43	 3
43	 16
43	 20
43	 31
43	 33
43	 46
43	 50
43	 61
43	 70
43	 73
43	 85
43	 90
43	 104
43	 107
43	 119
43	 124
43	 136
43	 139
43	 151
43	 156
43	 166
43	 169
43	 181
43	 186
43	 193
43	 206
43	 210
43	 221
43	 227
43	 240
43	 244
43	 255
43	 260
43	 271
43	 275
43	 288
43	 290
43	 301
43	 305
43	 318
43	 325
43	 330
43	 342
43	 345
43	 359
43	 364
43	 376
43	 379
44	 4
44	 15
44	 19
44	 32
44	 34
44	 45
44	 49
44	 62
44	 69
44	 74
44	 86
44	 89
44	 103
44	 108
44	 120
44	 123
44	 135
44	 140
44	 152
44	 155
44	 165
44	 170
44	 182
44	 185
44	 194
44	 205
44	 209
44	 222
44	 228
44	 239
44	 243
44	 256
44	 259
44	 272
44	 276
44	 287
44	 289
44	 302
44	 306
44	 317
44	 326
44	 329
44	 341
44	 346
44	 360
44	 363
44	 375
44	 380
45	 5
45	 10
45	 22
45	 25
45	 39
45	 44
45	 56
45	 59
45	 68
45	 79
45	 83
45	 96
45	 98
45	 109
45	 113
45	 126
45	 130
45	 141
45	 145
45	 158
45	 164
45	 175
45	 179
45	 192
45	 199
45	 204
45	 216
45	 219
45	 229
45	 234
45	 246
45	 249
45	 262
45	 265
45	 277
45	 282
45	 296
45	 299
45	 311
45	 316
45	 323
45	 336
45	 340
45	 351
45	 353
45	 366
45	 370
45	 381
46	 6
46	 9
46	 21
46	 26
46	 40
46	 43
46	 55
46	 60
46	 67
46	 80
46	 84
46	 95
46	 97
46	 110
46	 114
46	 125
46	 129
46	 142
46	 146
46	 157
46	 163
46	 176
46	 180
46	 191
46	 200
46	 203
46	 215
46	 220
46	 230
46	 233
46	 245
46	 250
46	 261
46	 266
46	 278
46	 281
46	 295
46	 300
46	 312
46	 315
46	 324
46	 335
46	 339
46	 352
46	 354
46	 365
46	 369
46	 382
47	 7
47	 12
47	 24
47	 27
47	 37
47	 42
47	 54
47	 57
47	 66
47	 77
47	 81
47	 94
47	 100
47	 111
47	 115
47	 128
47	 132
47	 143
47	 147
47	 160
47	 162
47	 173
47	 177
47	 190
47	 197
47	 202
47	 214
47	 217
47	 231
47	 236
47	 248
47	 251
47	 264
47	 267
47	 279
47	 284
47	 294
47	 297
47	 309
47	 314
47	 321
47	 334
47	 338
47	 349
47	 355
47	 368
47	 372
47	 383
48	 8
48	 11
48	 23
48	 28
48	 38
48	 41
48	 53
48	 58
48	 65
48	 78
48	 82
48	 93
48	 99
48	 112
48	 116
48	 127
48	 131
48	 144
48	 148
48	 159
48	 161
48	 174
48	 178
48	 189
48	 198
48	 201
48	 213
48	 218
48	 232
48	 235
48	 247
48	 252
48	 263
48	 268
48	 280
48	 283
48	 293
48	 298
48	 310
48	 313
48	 322
48	 333
48	 337
48	 350
48	 356
48	 367
48	 371
48	 384
